Rank,Country,Export,Import,Location,GDP,Growth,Population,Capita,Share,Export_vals,Import_vals
1,US,"Mexico, Canada, China, Japan, SK","China, Mexico, Canada, Japan, Germany",North America,"$19,485,394,000,000 ",2.27%,"325,084,756","$59,939 ",24.08%,"237, 190, 119, 73.5, 55.8","499,340,314,135,132"
2,China,"US, HK, Japan, SK, Germany","SK, Japan, US, Germany, Taiwan",Asia,"$12,237,700,479,375 ",6.90%,"1,421,021,791","$8,612 ",15.12%,"499, 282, 155, 107, 96.9"," 160,139,119,109,97.4"
3,Japan,"China, US, Taiwan, SK, Thailand","China, US, SK, Saudi, Australia",Asia,"$4,872,415,104,315 ",1.71%,"127,502,725","$38,214 ",6.02%,"139, 135, 51.5, 41.1, 31.6"," 155,73.5,30.8,29.4,27.6"
4,Germany,"US, France, China, Netherlands, UK","Netherlands, China, France, Belgium, Poland",Europe,"$3,693,204,332,230 ",2.22%,"82,658,409","$44,680 ",4.56%,"132, 121, 109, 93.6, 93.4"," 111,96.9,78.5,77.4,70.7"
5,India,"US, UAE, China, HK, Germany","China, US, Saudi, UAE, UAE",Asia,"$2,650,725,335,364 ",6.68%,"1,338,676,785","$1,980 ",3.28%,"52, 27.1, 16.6, 12.8, 9.66"," 75.5,31.6,26.3,23.8,23.8"
6,UK,"US, Germany, Netherlands, France, Ireland","Germany, China, Netherlands, US, France",Europe,"$2,637,866,340,434 ",1.79%,"66,727,461","$39,532 ",3.26%,"61.9, 45.5, 33.3, 29.7, 27.4"," 93.4,59.8,50.7,48.8,38.1"
7,France,"Germany, US, Italy, Belgium, Spain","Germany, Belgium, Italy, Spain, China",Europe,"$2,582,501,307,216 ",1.82%,"64,842,509","$39,827 ",3.19%,"78.5, 44.8, 42.9, 42.9, 42.7"," 121,62.3,56.4,48.6,43.7"
8,Brazil,"China, US, Argentina, Netherlands, Chile","China, US, Germany, Argentina, France",South America,"$2,053,594,877,013 ",0.98%,"207,833,823","$9,881 ",2.54%,"64.3, 29.3, 15, 11.9, 6.45"," 33.9,29.3,11.1,11,5.12"
9,Italy,"Germany, France, US, Spain, UK","Germany, France, China, Spain, Netherlands",Europe,"$1,943,835,376,342 ",1.50%,"60,673,701","$32,038 ",2.40%,"67.8, 56.4, 50.6, 28, 27.7"," 81.2,42.9,35.6,25.4,25.1"
10,Canada,"US, China, UK, Japan, Mexico","US, China, Mexico, Germany, Japan",North America,"$1,647,120,175,449 ",3.05%,"36,732,095","$44,841 ",2.04%,"314, 21.5, 12.9, 10.2, 6.99"," 190,47.1,18.3,12.3,10.5"
